标识,文件大小,总数,独一无二数,分散度,读数,写数,写占比,平均读带宽,平均写带宽,读空间范围,小读空间范围,读空间大小,小读空间大小,写空间范围,写空间大小,Pea_RB_WB(h),Pea_RB_R,Pea_WB_W,R_4/16/64/256/1024/max%,W_4/16/64/256/1024/max%,R_RAR_s,R_RAR_b,,随机率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_38,38.16GB,1053506060,3315765,0.31%,136,1053505924,100.00%,0.0KB/s,5471.16KB/s,10.15~42.0GB,10.15~42.0GB,0.003GB,0.001GB,0.0~42.2GB,13.109GB,None,,,36.8/42.6/15.4/4.4/0.7/0.0%,34.9/25.7/39.3/0.1/0.1/0.0%,0,0,,0.047886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_39,569MB,14850188,9095606,61.25%,154478,14695710,98.96%,0.35KB/s,198.69KB/s,0.0~178.24GB,0.0~178.24GB,0.482GB,0.479GB,0.0~178.25GB,119.69GB,-0.271252,None,-0.922462,91.8/4.1/3.2/0.8/0.0/0.0%,32.1/14.5/36.6/16.0/0.8/0.0%,0.212,0,,0.142607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_40,9.75GB,264596771,4661698,1.76%,12257418,252339353,95.37%,80.61KB/s,805.56KB/s,0.0~407.45GB,0.0~407.45GB,26.0GB,13.68GB,0.0~439.48GB,26.484GB,0.489744,0.771241,-0.079472,73.9/16.2/5.8/2.4/1.7/0.0%,80.8/11.8/6.6/0.4/0.4/0.0%,0.756,0.734,,0.39084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_41,319MB,8616432,618657,7.18%,192862,8423570,97.76%,1.64KB/s,57.93KB/s,0.0~39.97GB,0.0~39.97GB,3.728GB,0.78GB,0.0~40.0GB,27.899GB,-0.001811,0.999925,-0.699101,59.6/22.0/5.2/13.2/0.0/0.0%,78.4/14.9/3.1/1.2/2.3/0.0%,0.06,0,,0.526944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_42,63MB,1718036,82518,4.80%,642639,1075397,62.59%,4.63KB/s,2.97KB/s,0.01~32.35GB,0.01~32.35GB,0.429GB,0.148GB,0.0~32.35GB,0.233GB,0.251139,0.377966,-0.326666,56.0/25.2/9.9/8.7/0.3/0.0%,68.9/26.9/3.8/0.3/0.1/0.0%,0.951,0.974,,0.262497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_43,567MB,14814616,9206338,62.14%,153050,14661566,98.97%,0.34KB/s,198.81KB/s,0.0~195.51GB,0.0~195.51GB,0.487GB,0.484GB,0.0~195.52GB,136.414GB,-0.265473,-0.01125,-0.924905,92.3/3.9/3.0/0.8/0.0/0.0%,32.2/14.3/36.7/15.9/0.9/0.0%,0.195,0,,0.142206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_44,124MB,3376620,396703,11.75%,1658019,1718601,50.90%,17.27KB/s,14.68KB/s,0.0~21.42GB,0.0~21.42GB,4.091GB,1.057GB,0.0~21.44GB,4.028GB,0.632569,0.761699,-0.579882,39.4/25.6/26.0/8.0/1.0/0.0%,63.0/15.3/16.9/2.7/2.1/0.0%,0.838,0.67,,0.333425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_45,439MB,11518207,950577,8.25%,959536,10558671,91.67%,13.19KB/s,89.43KB/s,0.12~225.7GB,0.12~225.63GB,1.667GB,0.127GB,0.0~289.22GB,16.965GB,None,0.983716,-0.994192,12.3/39.3/42.1/4.5/1.7/0.0%,51.1/36.1/8.2/2.2/2.4/0.0%,0.979,0.96,,0.436753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_46,1.51GB,41723415,1627277,3.90%,6327296,35396119,84.84%,51.39KB/s,83.3KB/s,0.01~44.0GB,0.01~44.0GB,4.839GB,0.428GB,0.0~40.25GB,7.359GB,0.280856,0.233832,-0.718882,37.7/32.9/21.2/8.2/0.0/0.0%,83.1/15.3/0.3/1.4/0.0/0.0%,0.987,0,,0.388473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_47,546MB,14244300,8769842,61.57%,149038,14095262,98.95%,0.33KB/s,193.74KB/s,0.0~200.0GB,0.0~200.0GB,0.475GB,0.472GB,0.0~200.0GB,128.733GB,-0.268643,-0.01027,-0.930306,91.9/4.2/3.1/0.8/0.0/0.0%,32.1/13.1/37.3/16.7/0.8/0.0%,0.197,0,,0.140277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_48,1.31GB,36311051,1442239,3.97%,1912269,34398782,94.73%,19.81KB/s,81.12KB/s,0.01~44.0GB,0.01~44.0GB,4.218GB,0.787GB,0.0~36.41GB,6.361GB,0.512268,-0.075841,-0.777404,39.0/27.2/20.5/13.3/0.0/0.0%,82.4/16.0/0.3/1.3/0.0/0.0%,0.908,0,,0.344116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_49,1.5GB,40886730,810182,1.98%,21225231,19661499,48.09%,304.04KB/s,180.12KB/s,0.0~31.86GB,0.0~31.86GB,4.376GB,2.471GB,0.0~31.86GB,3.8GB,0.960985,0.494303,0.811794,18.5/15.1/65.8/0.4/0.2/0.0%,55.9/21.1/13.3/7.8/1.8/0.0%,0.949,0.968,,0.721773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_50,37MB,1011842,120430,11.90%,7754,1004088,99.23%,0.1KB/s,2.78KB/s,0.01~26.15GB,0.01~26.15GB,0.218GB,0.023GB,0.0~30.0GB,1.59GB,0.069707,None,-0.976842,35.7/26.5/19.0/18.9/0.0/0.0%,81.2/13.2/4.8/0.5/0.2/0.0%,0.308,0,,0.406646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_51,50MB,1383460,159024,11.49%,2531,1380929,99.82%,0.02KB/s,9.36KB/s,0.04~36.26GB,0.04~36.26GB,0.048GB,0.01GB,0.0~37.97GB,5.317GB,None,None,0.414948,69.3/10.2/9.2/11.3/0.0/0.0%,53.8/12.4/30.3/2.7/0.7/0.0%,0.003,0,,0.074359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_52,11.13GB,296846460,53303161,17.96%,3085087,293761373,98.96%,37.97KB/s,7977.72KB/s,0.0~500.0GB,0.0~500.0GB,58.296GB,7.545GB,0.0~500.0GB,406.27GB,0.334573,0.429638,-0.707539,69.3/5.5/4.3/20.4/0.4/0.0%,53.1/22.4/8.5/3.7/12.3/0.0%,0.259,0.539,,0.330916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_53,70MB,1931025,129557,6.71%,189621,1741404,90.18%,1.72KB/s,12.64KB/s,0.0~17.17GB,0.0~17.04GB,0.707GB,0.042GB,0.0~17.44GB,2.475GB,0.248843,0.117259,-0.882974,53.9/24.1/11.5/9.3/1.2/0.0%,66.6/14.3/13.6/4.1/1.4/0.0%,0.944,0.325,,0.310238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_54,1.62GB,44738697,3732219,8.34%,4171,44734526,99.99%,0.03KB/s,193.29KB/s,0.01~38.85GB,0.01~38.85GB,0.078GB,0.018GB,0.0~39.99GB,32.033GB,None,None,-0.361893,67.8/17.6/9.5/3.3/1.8/0.0%,78.8/16.5/2.1/1.8/0.8/0.0%,0.002,0,,0.383085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_55,164MB,4457603,468641,10.51%,513573,3944030,88.48%,2.49KB/s,18.43KB/s,0.0~39.47GB,0.0~39.47GB,1.939GB,0.805GB,0.0~39.87GB,7.026GB,0.710586,0.677498,-0.534525,76.8/15.7/4.6/1.9/0.9/0.0%,70.2/16.5/10.8/2.1/0.4/0.0%,0.652,0.603,,0.461473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
