标识,文件大小,总数,独一无二数,分散度,读数,写数,写占比,平均读带宽,平均写带宽,读空间范围,小读空间范围,读空间大小,小读空间大小,写空间范围,写空间大小,Pea_RB_WB(h),Pea_RB_R(暂时出错),Pea_WB_W(暂时出错),Pea_RB_R,Pea_WB_W,R_4/16/64/256/1024/max%,W_4/16/64/256/1024/max%,R_RAR_s,R_RAR_b,,随机率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1413,40MB,1467823,176142,12.00%,69313,1398510,95.28%,1.11KB/s,17.28KB/s,0.0~25.99GB,,0.17GB,,0.0~26.0GB,0.626GB,,None,None,0.503824,-0.136756,,,,,,0.284277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1415,86MB,3074322,264883,8.62%,188051,2886271,93.88%,8.7KB/s,586.62KB/s,0.0~52.0GB,,3.58GB,,0.0~10.29GB,2.018GB,,0.328056,0.896223,-0.058274,0.81294,,,,,,0.676221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1417,60MB,2222683,69415,3.12%,44701,2177982,97.99%,0.5KB/s,259.98KB/s,0.0~2.9GB,,0.111GB,,0.0~2.91GB,0.45GB,,None,0.957123,-0.110187,0.674045,,,,,,0.470026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1418,6.23GB,222866060,28435,0.01%,222825798,40262,0.02%,13739.12KB/s,0.35KB/s,0.04~48.66GB,,0.013GB,,0.0~42.58GB,0.153GB,,None,None,0.056604,-0.71454,,,,,,0.621329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1421,34MB,1286991,78142,6.07%,46854,1240137,96.36%,4.49KB/s,9.91KB/s,0.0~6.34GB,,0.025GB,,0.0~26.0GB,0.533GB,,None,0.973934,-0.135987,0.36883,,,,,,0.293908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1430,39MB,1454855,81522,5.60%,449558,1005297,69.10%,22.26KB/s,36.9KB/s,0.0~8.62GB,,0.444GB,,0.0~8.62GB,0.47GB,,None,0.918418,-0.81552,0.906965,,,,,,0.420753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1434,114MB,4181818,151413,3.62%,29948,4151870,99.28%,3.62KB/s,166.23KB/s,0.02~33.04GB,,0.407GB,,0.0~33.04GB,0.958GB,,0.086311,0.526091,-0.00086,0.571299,,,,,,0.497148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1437,816MB,29558456,2203860,7.46%,31237,29527219,99.89%,2.89KB/s,255.46KB/s,0.0~65.0GB,,1.661GB,,0.0~65.08GB,15.529GB,,0.993069,0.608661,-0.010149,-0.449655,,,,,,0.377158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1438,75MB,2669605,139607,5.23%,747292,1922313,72.01%,56.45KB/s,112.76KB/s,0.0~26.0GB,,0.738GB,,0.0~26.0GB,0.666GB,,0.680707,0.833444,0.752311,0.735633,,,,,,0.467824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1441,246MB,8820239,391522,4.44%,4809200,4011039,45.48%,249.94KB/s,145.17KB/s,0.28~31.95GB,,3.445GB,,0.02~31.95GB,3.188GB,,0.13273,0.553318,-0.279141,0.316389,,,,,,0.479448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1449,77MB,2805006,365857,13.04%,144352,2660654,94.85%,14.19KB/s,33.81KB/s,0.0~40.62GB,,0.067GB,,0.0~40.75GB,2.271GB,,None,0.020083,0.585304,0.0121,,,,,,0.584511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1458,3.99GB,146438616,5042545,3.44%,33486,146405130,99.98%,0.24KB/s,1330.27KB/s,0.48~99.6GB,,0.108GB,,0.0~99.61GB,33.184GB,,None,-0.061907,0.154199,0.578361,,,,,,0.503612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1465,36MB,1327784,382644,28.82%,90951,1236833,93.15%,3.18KB/s,25.31KB/s,0.0~28.81GB,,0.788GB,,0.0~28.98GB,3.406GB,,None,None,-0.386822,-0.482433,,,,,,0.318766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1468,1.69GB,60733100,178400,0.29%,56890261,3842839,6.33%,1494.33KB/s,52.5KB/s,0.0~49.65GB,,0.065GB,,0.0~49.65GB,0.675GB,,-0.023275,None,0.163521,0.691421,,,,,,0.042132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
